Epoch,Train_Loss,Val_Loss,PSNR,SSIM,LR,Time_s
1,0.08431794218098124,0.07338661783724092,26.161401292681695,0.7120733628049493,0.0009997533048548475,719.493492603302
2,0.07444391530007125,0.0709497056202963,26.340291732549666,0.7270448536612093,0.0009990134628777144,81.59142756462097
3,0.07257381354769071,0.07313346608134452,26.09022921919823,0.716421272419393,0.00099778120420331,84.44870233535767
4,0.07266220095463925,0.07288538072898518,26.262015306949614,0.713073105737567,0.0009960577449221735,83.7734968662262
5,0.07185778643728959,0.07138142421026714,26.315728321671486,0.7212056469172239,0.0009938447858805393,81.18209743499756
6,0.07143011932364768,0.07505371930601541,25.83753837645054,0.7048224468715489,0.0009911445110018082,81.23669648170471
7,0.0719315026783281,0.07120099030144048,26.356933948397636,0.7210690031759441,0.000987959585131277,81.16120409965515
8,0.07170848420096768,0.07218554171849974,26.228182059526443,0.7158243905752897,0.0009842931514062593,80.9079372882843
9,0.07196197065835198,0.07057124689163174,26.407963743805887,0.7264700574800372,0.000980148828154188,80.97560691833496
10,0.07018096693274048,0.06914618242008146,26.50141585469246,0.7332044965587556,0.0009755307053217621,82.49898529052734
11,0.07168220495805144,0.06839602924592328,26.53851185441017,0.7382277925498784,0.0009704433404386651,82.8310546875
12,0.06980015606515938,0.06833064711245243,26.614640280604362,0.7372682361863554,0.0009648917541198313,81.04721999168396
13,0.07044329908159044,0.07028731071332003,26.422749823331834,0.7249611515551806,0.0009588814251107063,80.89088845252991
14,0.06989698487644394,0.06897691305202898,26.605152839422225,0.7328655928373337,0.0009524182848803864,80.48600149154663
15,0.0709088626731601,0.07032115902402439,26.484150120615958,0.725908983219415,0.0009455087117679745,79.84095549583435
16,0.07081914003938436,0.07112683765590191,26.269213032722472,0.7237112931907177,0.0009381595246879295,80.0033004283905
17,0.07119972992481458,0.07037783378909808,26.392515575885774,0.7280762257985771,0.0009303779764006216,79.40282464027405
18,0.06994743638982376,0.07197608799033332,26.399663868546487,0.715973858255893,0.0009221717463547324,79.3958032131195
19,0.06995649114251137,0.06900233835331164,26.603942769765855,0.7319586060941219,0.0009135489331085671,80.74846267700195
20,0.06933963470574882,0.07108313224453014,26.47543147802353,0.7195856963284314,0.0009045180463377549,80.64401936531067
21,0.06946065731139647,0.07338465165812522,26.05073626637459,0.7068538622930646,0.0008950879984372263,79.75943613052368
